Instance,RL_Makespan,OR_Makespan,Gap(%),OR_Time
184,38.561439514160156,9.09,324.21825648140987,1.3660259246826172
185,33.763336181640625,8.626,291.4135889362466,0.49912214279174805
186,38.034812927246094,8.303,358.08518520108504,0.7385683059692383
187,36.16916275024414,9.586,277.3123591721692,0.09208869934082031
188,35.586734771728516,8.143,337.02240908422584,0.42522597312927246
189,33.050899505615234,8.555,286.33430164366143,0.3620259761810303
190,29.263261795043945,7.398,295.5563908494721,0.10931253433227539
191,30.596603393554688,8.29,269.07844865566574,0.6111850738525391
192,32.757476806640625,7.382,343.747992503937,0.45654821395874023
193,38.362083435058594,8.036,377.3778426463239,0.5716021060943604
194,30.438230514526367,8.617,253.23465840230202,0.8587803840637207
195,37.0356559753418,8.312,345.5685271335635,0.44959402084350586
196,34.270660400390625,8.842,287.5894639266074,0.34722280502319336
197,39.4769287109375,9.052,336.11277851234536,0.3722047805786133
198,30.08022689819336,7.703,290.50015446181175,0.37325382232666016
199,34.78717041015625,7.99,335.383859951893,0.3316929340362549
200,33.124061584472656,8.171,305.3856515049891,0.60024094581604
201,37.50857925415039,8.885,322.1562099510455,0.9948513507843018
202,36.82512664794922,8.49,333.74707476971986,0.5002143383026123
203,33.986724853515625,8.141,317.47604536931124,0.3296055793762207
204,40.085025787353516,8.443,374.7723059025645,0.5196473598480225
205,41.55671691894531,8.406,394.3696992498847,0.16950225830078125
206,34.276248931884766,8.002,328.34602514227396,0.9311926364898682
207,30.668258666992188,7.667,300.00337377060373,0.4573054313659668
208,34.48801040649414,8.112,325.148057279267,0.4098501205444336
209,32.04001235961914,8.95,257.98896491194574,0.29837703704833984
210,37.09498977661133,10.36,258.0597468784878,0.8976774215698242
211,36.604583740234375,8.03,355.8478672507394,0.3148486614227295
212,37.05963134765625,8.803,320.9886555453396,0.4566493034362793
213,32.7735595703125,8.689,277.18448118670153,0.4407074451446533
214,42.859519958496094,9.021,375.1083023888271,0.3296055793762207
215,33.910987854003906,8.103,318.49917134399493,0.18895721435546875
216,33.94122314453125,7.104,377.7762266966674,0.4064364433288574
217,28.819887161254883,6.803,323.6349722365851,0.4867129325866699
218,35.656005859375,8.111,339.60061471304397,0.5069491863250732
219,31.594526290893555,8.593,267.6774850563663,0.4854390621185303
220,31.973623275756836,8.721,266.6279472051007,0.5985777378082275
221,33.00215148925781,8.521,287.3037376981318,0.16766023635864258
222,35.45064926147461,8.569,313.7081253527203,0.4584040641784668
223,32.14641189575195,7.235,344.3180635211051,0.26278162002563477
224,33.9327392578125,7.388,359.29533375490666,0.5375196933746338
225,34.26726150512695,8.082,323.9948218897173,0.539759635925293
226,32.39214324951172,8.617,275.9097510677929,0.26273274421691895
227,36.10032272338867,8.686,315.6150440178295,0.45899057388305664
228,35.421627044677734,8.767,304.0336152010692,0.8344643115997314
229,36.005374908447266,8.285,334.5850924375047,0.2955138683319092
230,29.185762405395508,7.699,279.0851072268543,0.45560741424560547
231,32.39283752441406,8.84,266.4348136245935,0.5326154232025146
232,34.55615997314453,9.0,283.95733303493927,0.35475873947143555
233,30.82852554321289,8.356,268.93879300159034,0.22966980934143066
234,33.013755798339844,7.907,317.52568355052284,0.9850063323974609
235,28.70802116394043,7.719,271.9137344726056,0.3273742198944092
236,31.619752883911133,7.79,305.9018341965486,0.4541304111480713
237,32.24158477783203,8.618,274.11910858473,0.9098072052001953
238,32.75027847290039,8.072,305.7269384650693,0.4582247734069824
239,31.771678924560547,8.189,287.97996000196054,0.37988734245300293
240,33.90536117553711,7.644,343.55522207662364,0.3250570297241211
241,30.567955017089844,8.22,271.87293208138493,0.4280374050140381
242,33.88186264038086,7.528,350.0778777946448,0.09459233283996582
243,31.319339752197266,6.328,394.9326762357343,0.07497739791870117
244,35.93473815917969,9.168,291.9583132545778,0.7930433750152588
245,39.024932861328125,8.739,346.56062319862826,0.668482780456543
246,34.75279235839844,7.974,335.8263400852576,0.8707146644592285
247,33.56681442260742,8.384,300.3675384375885,0.6653387546539307
248,36.629241943359375,8.881,312.44501681521643,0.3605217933654785
249,30.12369728088379,8.02,275.6071980160074,0.23253774642944336
250,36.2563362121582,8.664,318.47110124836337,0.4225950241088867
251,37.51706314086914,7.99,369.55022704467007,0.36463189125061035
252,30.13894271850586,7.689,291.974804506514,0.22108864784240723
253,27.672914505004883,7.198,284.45282724374664,0.13806462287902832
254,38.4021110534668,8.69,341.9115196026099,0.5818843841552734
